transcript	pSTR	str_genotype	STR_var_exp	eQTL_Chr	eQTL_peak	eQTL_classification	eQTL_var_exp	LD	LD_level	nSTR_pheno
Y54G2A.12.2	STR_17428	STR genotype	0	IV	2856214	Local eQTL	0.86	0.29	Low LD	4
Y54G2A.12.2	STR_17443	STR length	0.42	IV	2856214	Local eQTL	0.86	0.3	Moderate LD	3
Y54G2A.14.1	STR_17646	STR genotype	0.25	IV	2682695	Local eQTL	0.28	0.68	Moderate LD	2
Y54G2A.14.1	STR_17646	STR length	0.25	IV	2682695	Local eQTL	0.28	0.68	Moderate LD	2
Y54G2A.14.2	STR_17695	STR genotype	0.24	IV	2706002	Local eQTL	0.28	0.39	Moderate LD	2
Y54G2A.14.2	STR_17695	STR length	0.24	IV	2706002	Local eQTL	0.28	0.39	Moderate LD	2
Y54G2A.15.1	STR_17469	STR genotype	0.16	IV	3032892	Local eQTL	0.17	0.33	Moderate LD	2
Y54G2A.15.1	STR_17469	STR length	0.16	IV	3032892	Local eQTL	0.17	0.33	Moderate LD	2
Y54G2A.17b.1	STR_17646	STR genotype	0.33	IV	2879228	Local eQTL	0.39	0.77	High LD	2
Y54G2A.17b.1	STR_17646	STR length	0.33	IV	2879228	Local eQTL	0.39	0.77	High LD	2
Y54G2A.17c.1	STR_17532	STR genotype	0.41	IV	2880692	Local eQTL	0.52	0.7	High LD	2
Y54G2A.17c.1	STR_17532	STR length	0.4	IV	2880692	Local eQTL	0.51	0.7	High LD	2
Y54G2A.20	STR_17550	STR genotype	0.22	IV	2812151	Local eQTL	0.31	0.1	Low LD	4
Y54G2A.20	STR_17550	STR length	0.11	IV	2812151	Local eQTL	0.31	0.1	Low LD	4
Y54G2A.22.1	STR_17516	STR genotype	0.43	IV	2899108	Local eQTL	0.46	0.97	High LD	2
Y54G2A.22.1	STR_18018	STR length	0.24	IV	2899108	Local eQTL	0.45	0.33	Moderate LD	2
Y54G2A.24	STR_17516	STR genotype	0.28	IV	2899108	Local eQTL	0.3	0.97	High LD	2
Y54G2A.24	STR_17550	STR length	0	IV	2899108	Local eQTL	0.3	0.88	High LD	4
Y54G2A.28b.1	STR_17543	STR genotype	0.53	IV	2937330	Local eQTL	0.59	0.89	High LD	2
Y54G2A.28b.1	STR_17543	STR length	0.55	IV	2937330	Local eQTL	0.58	0.92	High LD	2
Y54G2A.2a.1	STR_17431	STR genotype	0.68	IV	2804015	Local eQTL	0.66	0.97	High LD	2
Y54G2A.2a.1	STR_17443	STR length	0.36	IV	2804015	Local eQTL	0.68	0.34	Moderate LD	3
Y54G2A.2a.2	STR_17291	STR genotype	0.21	IV	2796709	Local eQTL	0.75	0.04	Low LD	4
Y54G2A.2a.2	STR_17550	STR length	0.19	IV	2796709	Local eQTL	0.73	0.04	Low LD	4
Y54G2A.2b.1	STR_17841	STR genotype	0	IV	2796709	Local eQTL	0.73	0.05	Low LD	4
Y54G2A.2b.1	STR_17543	STR length	0.16	IV	2796709	Local eQTL	0.74	0.22	Low LD	2
Y54G2A.36.1	STR_17593	STR genotype	0.43	IV	2889085	Local eQTL	0.56	0.65	Moderate LD	2
Y54G2A.36.1	STR_17543	STR length	0.4	IV	2889085	Local eQTL	0.6	0.53	Moderate LD	2
Y54G2A.36.2	STR_17550	STR genotype	0	IV	2823943	Local eQTL	0.58	0.06	Low LD	4
Y54G2A.36.2	STR_17550	STR length	0.06	IV	2823943	Local eQTL	0.58	0.06	Low LD	4
Y54G2A.39a.1	STR_17516	STR genotype	0.29	IV	2807980	Local eQTL	0.28	0.95	High LD	2
Y54G2A.39a.1	STR_17443	STR length	0.17	IV	2807980	Local eQTL	0.23	0.27	Low LD	3
Y54G2A.39b.2	STR_17516	STR genotype	0.26	IV	2899108	Local eQTL	0.27	0.97	High LD	2
Y54G2A.39b.2	STR_17550	STR length	0	IV	2899108	Local eQTL	0.28	0.88	High LD	4
Y54G2A.45a.2	STR_17428	STR genotype	0.57	IV	2807638	Local eQTL	0.86	0.16	Low LD	4
Y54G2A.45a.2	STR_17595	STR length	0.56	IV	2807638	Local eQTL	0.86	0.65	Moderate LD	2
Y54G2A.45b.1	STR_17428	STR genotype	0.53	IV	2807638	Local eQTL	0.73	0.16	Low LD	4
Y54G2A.45b.1	STR_17629	STR length	0.28	IV	2807638	Local eQTL	0.73	0.16	Low LD	3
Y54G2A.49b.1	STR_17516	STR genotype	0.21	IV	2851044	Local eQTL	0.29	0.66	Moderate LD	2
Y54G2A.49b.1	STR_17550	STR length	0	IV	2851044	Local eQTL	0.3	0.66	Moderate LD	4
Y54G2A.50.1	STR_17516	STR genotype	0.27	IV	3069385	Local eQTL	0.26	0.8	High LD	2
Y54G2A.50.1	STR_17550	STR length	0.02	IV	3069385	Local eQTL	0.27	0.84	High LD	4
Y54G2A.52.1	STR_17841	STR genotype	0	IV	2796709	Local eQTL	0.43	0.05	Low LD	4
Y54G2A.5a.1	STR_17542	STR genotype	0.25	IV	2815653	Local eQTL	0.3	0.73	High LD	2
Y54G2A.5a.1	STR_17542	STR length	0.25	IV	2815653	Local eQTL	0.3	0.73	High LD	2
Y54G2A.5c.1	STR_17532	STR genotype	0.14	IV	2815653	Local eQTL	0.15	0.68	Moderate LD	2
Y54G2A.5c.1	STR_17532	STR length	0.15	IV	2815653	Local eQTL	0.15	0.68	Moderate LD	2
Y54G2A.6b.1	STR_17544	STR genotype	0.37	IV	2851517	Local eQTL	0.46	0.67	Moderate LD	2
Y54G2A.6b.1	STR_17544	STR length	0.38	IV	2851517	Local eQTL	0.46	0.64	Moderate LD	2
Y54G2A.7.1	STR_17608	STR genotype	0.37	IV	2889085	Local eQTL	0.47	0.14	Low LD	3
Y54G2A.7.1	STR_17530	STR length	0.3	IV	2889085	Local eQTL	0.47	0.57	Moderate LD	2
Y54G9A.7.1	STR_10089	STR genotype	0.21	II	13739471	Local eQTL	0.3	0.62	Moderate LD	3
Y54G9A.7.1	STR_10056	STR length	0.07	II	13739471	Local eQTL	0.26	0.28	Low LD	3
Y55B1AR.3	STR_10984	STR genotype	0.28	III	600006	Local eQTL	0.38	0.95	High LD	3
Y55B1AR.3	STR_11011	STR length	0.14	III	600006	Local eQTL	0.35	0.32	Moderate LD	3
Y55B1BM.1b.2	STR_10754	STR genotype	0.02	III	276952	Local eQTL	0.14	0.28	Low LD	3
Y55B1BR.4.1	STR_10992	STR genotype	0.27	III	224068	Local eQTL	0.27	1	High LD	2
Y55B1BR.4.1	STR_11011	STR length	0.21	III	224068	Local eQTL	0.27	0.49	Moderate LD	3
Y55F3AM.1.1	STR_16504	STR genotype	0.1	IV	1160042	Local eQTL	0.32	0.44	Moderate LD	3
Y55F3AM.1.1	STR_16504	STR length	0.31	IV	1160042	Local eQTL	0.32	0.44	Moderate LD	3
Y55F3AM.1.2	STR_16510	STR genotype	0.23	IV	1073669	Local eQTL	0.57	0.93	High LD	4
Y55F3AM.1.2	STR_16510	STR length	0.02	IV	1073669	Local eQTL	0.55	0.92	High LD	3
Y55F3AM.15.1	STR_16259	STR genotype	0.08	IV	1070799	Local eQTL	0.48	0.11	Low LD	3
Y55F3AM.15.1	STR_16598	STR length	0.34	IV	1070799	Local eQTL	0.47	0.2	Low LD	2
Y55F3AM.15.2	STR_16486	STR genotype	0.35	IV	1070799	Local eQTL	0.48	0.2	Low LD	2
Y55F3AM.15.2	STR_16486	STR length	0.35	IV	1070799	Local eQTL	0.48	0.2	Low LD	2
Y55F3AM.21a.1	STR_16510	STR genotype	0.3	IV	1061885	Local eQTL	0.55	0.96	High LD	4
Y55F3AM.21a.1	STR_16510	STR length	0	IV	1061885	Local eQTL	0.55	0.94	High LD	3
Y55F3AM.2.1	STR_16741	STR genotype	0.19	IV	1044931	Local eQTL	0.19	0.11	Low LD	2
Y55F3AM.2.1	STR_16373	STR length	0.18	IV	1044931	Local eQTL	0.22	0.14	Low LD	2
Y55F3AM.6b.1	STR_16375	STR genotype	0	IV	972323	Local eQTL	0.24	0.07	Low LD	3
Y55F3AR.1.1	STR_16491	STR genotype	0.16	IV	1040707	Local eQTL	0.19	0.77	High LD	2
Y55F3AR.1.1	STR_16510	STR length	0.01	IV	1040707	Local eQTL	0.2	0.63	Moderate LD	3
Y55F3BL.1.2	STR_16368	STR genotype	0.14	IV	717046	Local eQTL	0.15	0.92	High LD	2
Y55F3BL.2a.1	STR_16340	STR genotype	0	IV	966022	Local eQTL	0.1	0.04	Low LD	4
Y55F3BL.2a.1	STR_16340	STR length	0.24	IV	966022	Local eQTL	0.1	0.04	Low LD	3
Y55F3BL.2b.1	STR_16340	STR genotype	0	IV	791274	Local eQTL	0.25	0.51	Moderate LD	4
Y55F3BL.2b.1	STR_16340	STR length	0.22	IV	791274	Local eQTL	0.25	0.5	Moderate LD	3
Y55F3BR.10.1	STR_16505	STR genotype	0.16	IV	844609	Local eQTL	0.28	0.09	Low LD	3
Y55F3BR.10.1	STR_16505	STR length	0.19	IV	844609	Local eQTL	0.28	0.09	Low LD	3
Y55F3BR.1.1	STR_16425	STR genotype	0.39	IV	878972	Local eQTL	0.39	1	High LD	2
Y55F3BR.1.1	STR_16425	STR length	0.41	IV	878972	Local eQTL	0.41	1	High LD	2
Y55F3BR.5a.1	STR_16403	STR genotype	0.55	IV	830696	Local eQTL	0.61	1	High LD	3
Y55F3BR.5a.1	STR_16403	STR length	0.08	IV	830696	Local eQTL	0.61	1	High LD	3
Y55F3BR.5b.1	STR_16403	STR genotype	0.38	IV	830696	Local eQTL	0.43	1	High LD	3
Y55F3BR.5b.1	STR_16403	STR length	0.04	IV	830696	Local eQTL	0.43	1	High LD	3
Y55F3BR.5b.2	STR_16403	STR genotype	0.17	IV	830696	Local eQTL	0.19	1	High LD	3
Y55F3BR.5b.2	STR_16403	STR length	0.02	IV	830696	Local eQTL	0.19	1	High LD	3
Y55F3C.9a.1	STR_16340	STR genotype	0.42	IV	623736	Local eQTL	0.74	0.17	Low LD	4
Y55F3C.9a.1	STR_16340	STR length	0.27	IV	623736	Local eQTL	0.74	0.17	Low LD	3
Y55F3C.9b.1	STR_16340	STR genotype	0.02	IV	677478	Local eQTL	0.19	0.13	Low LD	4
Y55F3C.9b.1	STR_16340	STR length	0.22	IV	677478	Local eQTL	0.19	0.13	Low LD	3
Y56A3A.11.2	STR_14991	STR genotype	0.34	III	11913744	Local eQTL	0.27	0.21	Low LD	4
Y56A3A.11.2	STR_14991	STR length	0.35	III	11913744	Local eQTL	0.27	0.21	Low LD	4
Y56A3A.12a.1	STR_14899	STR genotype	0.41	III	11906872	Local eQTL	0.5	0.49	Moderate LD	2
Y56A3A.12a.1	STR_15099	STR length	0.17	III	11906872	Local eQTL	0.5	0.04	Low LD	3
Y56A3A.13.2	STR_15283	STR genotype	0.21	III	11924020	Local eQTL	0.23	0.38	Moderate LD	2
Y56A3A.13.2	STR_15283	STR length	0.21	III	11924020	Local eQTL	0.23	0.34	Moderate LD	2
Y56A3A.16a.1	STR_15099	STR genotype	0.12	III	11980431	Local eQTL	0.2	0.74	High LD	3
Y56A3A.16a.1	STR_15141	STR length	0.14	III	11980431	Local eQTL	0.18	0.58	Moderate LD	2
Y56A3A.18.2	STR_14991	STR genotype	0.04	III	11851830	Local eQTL	0.27	0	Low LD	4
Y56A3A.18.2	STR_14991	STR length	0.03	III	11851830	Local eQTL	0.27	0	Low LD	4
Y56A3A.19.2	STR_14986	STR genotype	0.48	III	11913744	Local eQTL	0.46	0.97	High LD	2
Y56A3A.19.2	STR_14964	STR length	0.41	III	11913744	Local eQTL	0.46	0.83	High LD	2
Y57A10A.15.1	STR_9185	STR genotype	0.01	II	12128101	Local eQTL	0.27	0.13	Low LD	4
Y57A10A.15.1	STR_9166	STR length	0.02	II	12128101	Local eQTL	0.27	0.34	Moderate LD	3
Y57A10A.16.2	STR_9132	STR genotype	0.2	II	12203344	Local eQTL	0.17	0.6	Moderate LD	3
Y57A10A.16.2	STR_9132	STR length	0.23	II	12203344	Local eQTL	0.17	0.6	Moderate LD	3
Y57A10A.18a.2	STR_9132	STR genotype	0.34	II	12231078	Local eQTL	0.38	0.86	High LD	3
Y57A10A.18a.2	STR_9132	STR length	0.4	II	12231078	Local eQTL	0.38	0.86	High LD	3
Y57A10A.19.1	STR_9132	STR genotype	0.06	II	12454247	Local eQTL	0.2	0.32	Moderate LD	3
Y57A10A.19.1	STR_9132	STR length	0.09	II	12454247	Local eQTL	0.2	0.32	Moderate LD	3
Y57A10A.1	STR_9086	STR genotype	0.66	II	12104671	Local eQTL	0.22	0.3	Moderate LD	3
Y57A10A.1	STR_9086	STR length	0	II	12104671	Local eQTL	0.22	0.3	Moderate LD	3
Y57A10A.25.2	STR_9166	STR genotype	0.04	II	12247349	Local eQTL	0.19	0.25	Low LD	3
Y57A10A.25.2	STR_9166	STR length	0.05	II	12247349	Local eQTL	0.19	0.25	Low LD	3
Y57A10A.27.1	STR_9265	STR genotype	0.66	II	12326138	Local eQTL	0.66	1	High LD	2
Y57A10A.27.1	STR_9265	STR length	0.66	II	12326138	Local eQTL	0.66	0.87	High LD	2
Y57A10A.27.2	STR_9265	STR genotype	0.88	II	12314626	Local eQTL	0.85	0.93	High LD	2
Y57A10A.27.2	STR_9265	STR length	0.88	II	12314626	Local eQTL	0.85	0.81	High LD	2
Y57A10A.31.1	STR_9166	STR genotype	0.26	II	12346336	Local eQTL	0.26	0.44	Moderate LD	3
Y57A10A.31.1	STR_9166	STR length	0.04	II	12346336	Local eQTL	0.26	0.44	Moderate LD	3
Y57A10A.4.1	STR_8911	STR genotype	0	II	12054520	Local eQTL	0.41	0.15	Low LD	3
Y57A10A.4.1	STR_8911	STR length	0.34	II	12054520	Local eQTL	0.41	0.15	Low LD	2
Y57A10A.5.1	STR_9476	STR genotype	0.26	II	12132844	Local eQTL	0.41	0.37	Moderate LD	2
Y57A10A.5.1	STR_9476	STR length	0.26	II	12132844	Local eQTL	0.41	0.37	Moderate LD	2
Y57A10A.7	STR_8768	STR genotype	0.3	II	12118931	Local eQTL	0.52	0.34	Moderate LD	2
Y57A10A.7	STR_8774	STR length	0.27	II	12118931	Local eQTL	0.57	0.35	Moderate LD	2
Y57A10A.9.1	STR_9163	STR genotype	0.15	II	12458085	Local eQTL	0.21	0.62	Moderate LD	2
Y57A10A.9.1	STR_9163	STR length	0.15	II	12458085	Local eQTL	0.21	0.62	Moderate LD	2
Y57A10B.3.1	STR_9101	STR genotype	0.06	II	12339125	Local eQTL	0.49	0.17	Low LD	3
Y57A10B.3.1	STR_9101	STR length	0.07	II	12339125	Local eQTL	0.49	0.16	Low LD	3
Y57G11C.10a.1	STR_20688	STR genotype	0	IV	14226625	Local eQTL	0.21	0.1	Low LD	3
Y57G11C.10a.1	STR_20688	STR length	0.23	IV	14226625	Local eQTL	0.22	0.1	Low LD	3
Y57G11C.1.1	STR_20714	STR genotype	0.17	IV	14695388	Local eQTL	0.76	0.25	Low LD	5
Y57G11C.1.1	STR_20714	STR length	0.56	IV	14695388	Local eQTL	0.73	0.24	Low LD	3
Y57G11C.25.1	STR_20782	STR genotype	0.21	IV	15028027	Local eQTL	0.21	0.4	Moderate LD	2
Y57G11C.25.1	STR_20782	STR length	0.21	IV	15028027	Local eQTL	0.21	0.4	Moderate LD	2
Y57G11C.31.1	STR_20767	STR genotype	0.15	IV	14495906	Local eQTL	0.15	0.68	Moderate LD	2
Y57G11C.31.1	STR_20767	STR length	0.16	IV	14495906	Local eQTL	0.16	0.67	Moderate LD	2
Y57G11C.36.1	STR_20799	STR genotype	0.04	IV	14704822	Local eQTL	0.19	0.19	Low LD	4
Y57G11C.36.1	STR_20698	STR length	0.22	IV	14704822	Local eQTL	0.18	0.36	Moderate LD	3
Y57G11C.47.1	STR_20584	STR genotype	0.22	IV	14771226	Local eQTL	0.17	0.8	High LD	2
Y57G11C.47.1	STR_20584	STR length	0.22	IV	14771226	Local eQTL	0.17	0.8	High LD	2
Y57G11C.499.1	STR_20521	STR genotype	0.26	IV	14288944	Local eQTL	0.24	0.36	Moderate LD	3
Y57G11C.499.1	STR_20521	STR length	0.16	IV	14288944	Local eQTL	0.24	0.36	Moderate LD	3
Y57G11C.51.2	STR_20698	STR genotype	0.86	IV	14578595	Local eQTL	0.86	1	High LD	2
Y57G11C.51.2	STR_20698	STR length	0.71	IV	14578595	Local eQTL	0.75	0.42	Moderate LD	3
Y57G11C.5b.1	STR_20748	STR genotype	0.14	IV	15103113	Local eQTL	0.15	0.44	Moderate LD	2
Y58A7A.2.1	STR_23380	STR length	0.15	V	5113365	Local eQTL	0.17	0.79	High LD	2
Y58A7A.4.1	STR_23507	STR genotype	0.33	V	5113365	Local eQTL	0.24	0.8	High LD	2
Y58A7A.4.1	STR_23507	STR length	0.33	V	5113365	Local eQTL	0.24	0.8	High LD	2
Y58A7A.5.1	STR_23485	STR genotype	0.53	V	5113365	Local eQTL	0.64	0.91	High LD	3
Y58A7A.5.1	STR_23507	STR length	0.49	V	5113365	Local eQTL	0.65	0.8	High LD	2
Y59A8A.1.2	STR_25730	STR genotype	0.24	V	17895657	Local eQTL	0.3	0.81	High LD	2
Y59A8A.1.2	STR_25730	STR length	0.24	V	17895657	Local eQTL	0.32	0.8	High LD	3
Y59A8B.14a.1	STR_25866	STR genotype	0.33	V	18019275	Local eQTL	0.36	0.03	Low LD	3
Y59A8B.14a.1	STR_25866	STR length	0.03	V	18019275	Local eQTL	0.31	0.03	Low LD	4
Y59A8B.14b.1	STR_25866	STR genotype	0.25	V	18019275	Local eQTL	0.22	0.03	Low LD	3
Y59A8B.14b.1	STR_25866	STR length	0.02	V	18019275	Local eQTL	0.18	0.03	Low LD	4
Y59A8B.1a.1	STR_25841	STR genotype	0.15	V	17944172	Local eQTL	0.18	0.39	Moderate LD	2
Y59A8B.1a.1	STR_25775	STR length	0.16	V	17944172	Local eQTL	0.16	0.34	Moderate LD	2
Y59A8B.21b.1	STR_25869	STR genotype	0.2	V	18407508	Local eQTL	0.24	0.19	Low LD	3
Y59A8B.21b.1	STR_25987	STR length	0.17	V	18407508	Local eQTL	0.25	0.5	Moderate LD	2
Y59A8B.23b.1	STR_25869	STR genotype	0.06	V	17944172	Local eQTL	0.26	0	Low LD	3
Y59A8B.23b.1	STR_25758	STR length	0.15	V	17944172	Local eQTL	0.27	0.25	Low LD	2
Y59A8B.6.2	STR_25930	STR genotype	0.19	V	18344667	Local eQTL	0.2	0.78	High LD	2
Y59A8B.6.2	STR_25930	STR length	0.19	V	18344667	Local eQTL	0.2	0.78	High LD	2
Y59C2A.3.1	STR_6792	STR genotype	0.34	II	2214312	Local eQTL	0.65	0.4	Moderate LD	2
Y59C2A.3.1	STR_6788	STR length	0.18	II	2214312	Local eQTL	0.65	0.23	Low LD	3
Y59C2A.3.2	STR_6792	STR genotype	0.45	II	2458227	Local eQTL	0.8	0.56	Moderate LD	2
Y59C2A.3.2	STR_6788	STR length	0.23	II	2458227	Local eQTL	0.8	0.28	Low LD	3
Y59E1A.2.1	STR_27688	STR genotype	0.4	X	1531837	Local eQTL	0.42	1	High LD	3
Y59E1A.2.1	STR_27688	STR length	0.31	X	1531837	Local eQTL	0.43	1	High LD	3
Y59E9AR.1.1	STR_18462	STR genotype	0.38	IV	5433699	Local eQTL	0.34	0.92	High LD	2
Y59E9AR.1.1	STR_18708	STR length	0.3	IV	5433699	Local eQTL	0.36	0.78	High LD	2
Y59E9AR.3.1	STR_18462	STR genotype	0.62	IV	5433699	Local eQTL	0.56	0.92	High LD	2
Y59E9AR.3.1	STR_18708	STR length	0.47	IV	5433699	Local eQTL	0.58	0.78	High LD	2
Y59E9AR.5.1	STR_18462	STR genotype	0.62	IV	5433699	Local eQTL	0.56	0.92	High LD	2
Y59E9AR.5.1	STR_18708	STR length	0.47	IV	5433699	Local eQTL	0.58	0.78	High LD	2
Y59E9AR.7.1	STR_18462	STR genotype	0.38	IV	5433699	Local eQTL	0.34	0.92	High LD	2
Y59E9AR.7.1	STR_18708	STR length	0.3	IV	5433699	Local eQTL	0.36	0.78	High LD	2
Y59H11AR.4.1	STR_19256	STR genotype	0.15	IV	8752110	Local eQTL	0.15	1	High LD	2
Y59H11AR.4.1	STR_19214	STR length	0.15	IV	8752110	Local eQTL	0.14	0.73	High LD	2
Y60A3A.12.1	STR_26904	STR genotype	0.49	V	19918376	Local eQTL	0.46	0.39	Moderate LD	2
Y60A3A.12.1	STR_26740	STR length	0.37	V	19918376	Local eQTL	0.48	0.43	Moderate LD	3
Y60A3A.13a.1	STR_27155	STR genotype	0.27	V	20223221	Local eQTL	0.31	0.81	High LD	2
Y60A3A.13a.1	STR_27097	STR length	0.29	V	20223221	Local eQTL	0.31	0.55	Moderate LD	2
Y60A3A.15	STR_27108	STR genotype	0.21	V	20018771	Local eQTL	0.2	0.37	Moderate LD	3
Y60A3A.15	STR_27108	STR length	0.03	V	20018771	Local eQTL	0.22	0.37	Moderate LD	3
Y60A3A.18.2	STR_27129	STR genotype	0.15	V	19832019	Local eQTL	0.58	0.25	Low LD	3
Y60A3A.18.2	STR_27129	STR length	0	V	19832019	Local eQTL	0.58	0.25	Low LD	3
Y60A3A.19a.2	STR_27097	STR genotype	0.49	V	20021736	Local eQTL	0.58	0.58	Moderate LD	3
Y60A3A.19a.2	STR_27097	STR length	0.46	V	20021736	Local eQTL	0.56	0.54	Moderate LD	2
Y60A3A.19b.2	STR_27191	STR genotype	0.31	V	19902876	Local eQTL	0.47	0.71	High LD	2
Y60A3A.19b.2	STR_27152	STR length	0.23	V	19902876	Local eQTL	0.51	0.41	Moderate LD	2
Y60A3A.21b.1	STR_26904	STR genotype	0.22	V	20233851	Local eQTL	0.24	0.69	Moderate LD	2
Y60A3A.21b.1	STR_26904	STR length	0.22	V	20233851	Local eQTL	0.24	0.7	High LD	2
Y60A3A.2.1	STR_27155	STR genotype	0.34	V	20021736	Local eQTL	0.38	0.82	High LD	2
Y60A3A.2.1	STR_27097	STR length	0.38	V	20021736	Local eQTL	0.39	0.51	Moderate LD	2
Y60A3A.24.1	STR_26740	STR genotype	0.09	V	20075948	Local eQTL	0.28	0.68	Moderate LD	3
Y60A3A.24.1	STR_26740	STR length	0.27	V	20075948	Local eQTL	0.25	0.64	Moderate LD	3
Y60A3A.24.2	STR_26977	STR genotype	0.44	V	20415724	Local eQTL	0.39	0.91	High LD	2
Y60A3A.24.2	STR_26977	STR length	0.44	V	20415724	Local eQTL	0.39	0.91	High LD	2
Y60A3A.8.1	STR_27190	STR genotype	0.24	V	20050056	Local eQTL	0.24	0.71	High LD	2
Y60A3A.8.1	STR_27108	STR length	0.03	V	20050056	Local eQTL	0.28	0.31	Moderate LD	3
Y61A9LA.12.1	STR_23196	STR genotype	0.42	V	4517350	Local eQTL	0.39	0.94	High LD	2
Y61A9LA.12.1	STR_23196	STR length	0.42	V	4517350	Local eQTL	0.39	0.94	High LD	2
Y61A9LA.1b.2	STR_23282	STR genotype	0.55	V	4571894	Local eQTL	0.61	0.86	High LD	2
Y61A9LA.1b.2	STR_23282	STR length	0.55	V	4571894	Local eQTL	0.61	0.86	High LD	2
Y61A9LA.5	STR_23196	STR genotype	0.32	V	4517350	Local eQTL	0.3	0.94	High LD	2
Y61A9LA.5	STR_23196	STR length	0.32	V	4517350	Local eQTL	0.3	0.94	High LD	2
Y61A9LA.9.1	STR_23050	STR genotype	0.05	V	4082892	Local eQTL	0.26	0.43	Moderate LD	3
Y61A9LA.9.1	STR_23050	STR length	0.03	V	4082892	Local eQTL	0.26	0.43	Moderate LD	3
Y62E10A.11.1	STR_20254	STR genotype	0.16	IV	13369766	Local eQTL	0.35	0.18	Low LD	2
Y62E10A.11.1	STR_20254	STR length	0.16	IV	13369766	Local eQTL	0.35	0.18	Low LD	2
Y62E10A.15b.1	STR_20078	STR genotype	0.5	IV	13358034	Local eQTL	0.69	0.58	Moderate LD	2
Y62E10A.15b.1	STR_20085	STR length	0.52	IV	13358034	Local eQTL	0.71	0.58	Moderate LD	2
Y62E10A.15c.1	STR_20413	STR genotype	0.41	IV	13358034	Local eQTL	0.52	0.67	Moderate LD	2
Y62E10A.15c.1	STR_20413	STR length	0.41	IV	13358034	Local eQTL	0.52	0.68	Moderate LD	2
Y62E10A.6.1	STR_20449	STR genotype	0.15	IV	13740583	Local eQTL	0.18	0.57	Moderate LD	2
Y62E10A.6.1	STR_20449	STR length	0.15	IV	13740583	Local eQTL	0.18	0.55	Moderate LD	2
Y65B4A.1.1	STR_261	STR genotype	0.17	I	32533	Local eQTL	0.18	0.97	High LD	2
Y65B4A.1.1	STR_261	STR length	0.17	I	32533	Local eQTL	0.18	0.97	High LD	2
Y65B4A.2b.1	STR_385	STR genotype	0.15	I	694829	Local eQTL	0.17	0.59	Moderate LD	2
Y65B4A.2b.1	STR_385	STR length	0.15	I	694829	Local eQTL	0.17	0.59	Moderate LD	2
Y65B4A.4.2	STR_652	STR genotype	0.17	I	630429	Local eQTL	0.23	0.41	Moderate LD	2
Y65B4A.4.2	STR_652	STR length	0.17	I	630429	Local eQTL	0.23	0.41	Moderate LD	2
Y65B4A.6a.1	STR_224	STR genotype	0.18	I	606864	Local eQTL	0.18	1	High LD	2
Y65B4A.6a.1	STR_261	STR length	0.15	I	606864	Local eQTL	0.19	0.75	High LD	2
Y65B4A.6b.1	STR_224	STR genotype	0.22	I	606864	Local eQTL	0.22	1	High LD	2
Y65B4A.6b.1	STR_261	STR length	0.17	I	606864	Local eQTL	0.21	0.75	High LD	2
Y66D12A.1.1	STR_14644	STR genotype	0.28	III	11536759	Local eQTL	0.19	0.29	Low LD	2
Y66D12A.1.1	STR_14644	STR length	0.27	III	11536759	Local eQTL	0.18	0.28	Low LD	2
Y66D12A.7.1	STR_14634	STR genotype	0.26	III	11660231	Local eQTL	0.31	0.78	High LD	2
Y66D12A.7.1	STR_14634	STR length	0.26	III	11660231	Local eQTL	0.31	0.78	High LD	2
Y66D12A.8a.2	STR_14747	STR genotype	0.46	III	11574533	Local eQTL	0.43	0.44	Moderate LD	3
Y66D12A.8a.2	STR_14712	STR length	0.36	III	11574533	Local eQTL	0.43	0.41	Moderate LD	3
Y67D2.4b.1	STR_11413	STR genotype	0.22	III	1534618	Local eQTL	0.82	0.28	Low LD	2
Y67D2.4b.1	STR_11194	STR length	0.06	III	1534618	Local eQTL	0.82	0.01	Low LD	3
Y67D8A.2a.2	STR_17681	STR genotype	0.21	IV	3148318	Local eQTL	0.21	1	High LD	2
Y67D8A.2a.2	STR_17681	STR length	0.21	IV	3148318	Local eQTL	0.21	1	High LD	2
Y67D8B.1b.1	STR_17681	STR genotype	0.4	IV	3148318	Local eQTL	0.4	1	High LD	2
Y67D8B.1b.1	STR_17681	STR length	0.4	IV	3148318	Local eQTL	0.4	1	High LD	2
Y67D8B.4a.1	STR_17681	STR genotype	0.38	IV	3148318	Local eQTL	0.38	1	High LD	2
Y67D8B.4a.1	STR_17681	STR length	0.38	IV	3148318	Local eQTL	0.38	1	High LD	2
Y67D8B.4b.1	STR_17681	STR genotype	0.25	IV	3148318	Local eQTL	0.25	1	High LD	2
Y67D8B.4b.1	STR_17681	STR length	0.25	IV	3148318	Local eQTL	0.25	1	High LD	2
Y67D8C.3a.1	STR_17535	STR genotype	0.41	IV	2899108	Local eQTL	0.42	0.95	High LD	2
Y67D8C.3a.1	STR_17550	STR length	0.09	IV	2899108	Local eQTL	0.41	0.88	High LD	4
Y67D8C.6.1	STR_17516	STR genotype	0.32	IV	2849850	Local eQTL	0.36	0.9	High LD	2
Y67D8C.6.1	STR_17550	STR length	0	IV	2849850	Local eQTL	0.37	0.81	High LD	4
Y67D8C.9b.1	STR_17550	STR genotype	0.09	IV	2997930	Local eQTL	0.48	0.23	Low LD	4
Y67D8C.9b.1	STR_17550	STR length	0.53	IV	2997930	Local eQTL	0.48	0.23	Low LD	4
